i,Date,Price,Open,High,Low,Vol.,Change %,u_i^2,sigma_i^2,#NAME?
21,11/10/2023,2.49,2.51,2.51,2.48,593.86M,-0.95%,0.00009025,0.00007458,2.917297392
22,11/09/2023,2.51,2.51,2.52,2.51,539.44M,0.00%,0,0.00007119,4.14756437
23,11/08/2023,2.51,2.52,2.53,2.5,498.04M,-0.32%,0.00001024,0.00006854,4.014643248
24,11/07/2023,2.52,2.53,2.53,2.51,511.29M,-0.43%,0.00001849,0.00006646,3.899234054
25,11/06/2023,2.53,2.53,2.54,2.52,570.19M,0.80%,0.000064,0.00006636,3.213647628
26,11/03/2023,2.51,2.5,2.52,2.49,445.41M,0.80%,0.000064,0.00006627,3.212921417
27,11/02/2023,2.49,2.5,2.52,2.49,439.61M,0.00%,0,0.00006381,4.195086048
28,11/01/2023,2.5,2.53,2.53,2.49,1.01B,0.36%,0.00001296,0.000062,3.998585136
29,10/31/2023,2.49,2.49,2.49,2.48,698.39M,0.00%,0,0.00005986,4.222865789
30,10/30/2023,2.49,2.48,2.5,2.48,561.53M,0.00%,0,0.00005786,4.237589046
31,10/27/2023,2.49,2.46,2.5,2.46,674.26M,0.97%,0.00009409,0.00005903,2.63504896
32,10/26/2023,2.47,2.45,2.47,2.45,587.78M,0.37%,0.00001369,0.00005762,4.0018495
33,10/25/2023,2.46,2.47,2.49,2.46,1.17B,0.49%,0.00002401,0.0000566,3.822979054
34,10/24/2023,2.45,2.45,2.46,2.43,804.47M,0.33%,0.00001089,0.00005525,4.060549756
35,10/23/2023,2.44,2.45,2.46,2.42,1.17B,-0.77%,0.00005929,0.00005537,3.185912594
36,10/20/2023,2.46,2.46,2.47,2.45,967.33M,-0.57%,0.00003249,0.00005473,3.668141934
37,10/19/2023,2.47,2.53,2.53,2.47,1.55B,-2.71%,0.00073441,0.0000731,-5.910210423
38,10/18/2023,2.54,2.55,2.56,2.54,644.86M,-0.39%,0.00001521,0.00007158,3.93272123
39,10/17/2023,2.55,2.55,2.56,2.54,512.37M,0.39%,0.00001521,0.00007013,3.937201306
40,10/16/2023,2.54,2.57,2.57,2.54,545.57M,-0.90%,0.000081,0.00007041,3.001915112
41,10/13/2023,2.57,2.57,2.58,2.56,627.38M,-0.96%,0.00009216,0.00007094,2.849935216
42,10/12/2023,2.59,2.59,2.6,2.58,647.12M,0.93%,0.00008649,0.00007131,2.933937198
43,10/11/2023,2.57,2.57,2.58,2.56,499.55M,0.31%,0.00000961,0.00006987,4.018161195
44,10/10/2023,2.56,2.59,2.6,2.56,639.33M,-0.62%,0.00003844,0.00006916,3.604327614
45,10/09/2023,2.58,2.58,2.58,2.55,709.47M,-0.31%,0.00000961,0.00006783,4.026883204
46,09/28/2023,2.58,2.61,2.61,2.58,901.88M,-0.81%,0.00006561,0.00006779,3.200958278
47,09/27/2023,2.6,2.59,2.62,2.59,787.72M,0.46%,0.00002116,0.00006679,3.8584683
48,09/26/2023,2.59,2.61,2.61,2.59,538.99M,-0.65%,0.00004225,0.00006628,3.54117733
49,09/25/2023,2.61,2.63,2.63,2.61,630.66M,-0.95%,0.00009025,0.00006677,2.823783316
